"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1066","nonexistent MID shows a not-found message (mocked)","firefox","2026-09-04","passed","2026-09-04","Movie detail","moviecatalog/detail.test.ts","",""
"","1530","logout button clears the session","webkit","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","1107","invalid credentials show an inline error","webkit","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","552","genre link ""Romance"" filters and self-marks active","chromium","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","480","invalid credentials show an inline error","chromium","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","1781","rating + price filters combine and reset to page 0","webkit","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1168","genre link ""Sci-Fi"" filters and self-marks active","firefox","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","476","duplicate MID (409) clears the field and flags it (mocked)","chromium","2026-09-04","passed","2026-09-04","Add/Edit movie","moviecatalog/movie.test.ts","",""
"","1146","studio ID resolves to studio name","webkit","2026-09-04","passed","2026-09-04","Movie detail","moviecatalog/detail.test.ts","",""
"","512","a mocked 401 from the login endpoint shows the same inline error","chromium","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","1859","confirming delete from the detail page returns to the list","webkit","2026-09-04","passed","2026-09-04","Movie detail","moviecatalog/detail.test.ts","",""
"","1049","genre link ""Mystery"" filters and self-marks active","firefox","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1760","4XX popup coexists with a field-specific error, 401 popup suppresses the page entirely","webkit","2026-09-04","passed","2026-09-04","Global error popup","moviecatalog/err.test.ts","",""
"","1477","movie list loads within budget","firefox","2026-09-04","passed","2026-09-04","Performance budgets","moviecatalog/perf.test.ts","",""
"","873","valid login navigates to the movie list","chromium","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","1408","movie list page has no critical violations","chromium","2026-09-04","passed","2026-09-04","Accessibility","moviecatalog/a11y.test.ts","",""
"","453","edit and delete sit in separate left/right cells","chromium","2026-09-04","passed","2026-09-04","Movie detail","moviecatalog/detail.test.ts","",""
"","1207","movie list loads within budget","webkit","2026-09-04","passed","2026-09-04","Performance budgets","moviecatalog/perf.test.ts","",""
"","1239","genre link ""Adventure"" filters and self-marks active","webkit","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1526","delete confirmation flow and auto-dismissing toast","firefox","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","679","4XX popup coexists with a field-specific error, 401 popup suppresses the page entirely","chromium","2026-09-04","passed","2026-09-04","Global error popup","moviecatalog/err.test.ts","",""
"","495","sort toggles direction on repeated clicks","chromium","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","2017","movie detail page has no critical violations","webkit","2026-09-04","passed","2026-09-04","Accessibility","moviecatalog/a11y.test.ts","",""
"","2440","movie list page has no critical violations","webkit","2026-09-04","passed","2026-09-04","Accessibility","moviecatalog/a11y.test.ts","",""
"","321","network failure on the initial list load falls through to the component’s own error","chromium","2026-09-04","passed","2026-09-04","Network mocking depth","moviecatalog/net.test.ts","",""
"","482","all required-field errors surface together on empty submit","chromium","2026-09-04","passed","2026-09-04","Add/Edit movie","moviecatalog/movie.test.ts","",""
"","1697","the UI stays usable while a request is artificially slow","firefox","2026-09-04","passed","2026-09-04","Network mocking depth","moviecatalog/net.test.ts","",""
"","1455","genre link ""Sci-Fi"" filters and self-marks active","webkit","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1198","changing a filter issues exactly one new request","firefox","2026-09-04","passed","2026-09-04","Network mocking depth","moviecatalog/net.test.ts","",""
"","470","successful add navigates to the list with a success banner","chromium","2026-09-04","passed","2026-09-04","Add/Edit movie","moviecatalog/movie.test.ts","",""
"","1068","genre link ""Romance"" filters and self-marks active","firefox","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1264","a 401 on any authenticated call logs out and shows a popup (mocked)","firefox","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","930","network failure on the initial list load falls through to the component’s own error","firefox","2026-09-04","passed","2026-09-04","Network mocking depth","moviecatalog/net.test.ts","",""
"","1205","genre link ""Drama"" filters and self-marks active","webkit","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1448","pagination buttons disable at both boundaries (mocked)","webkit","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","4688","genre link ""Comedy"" filters and self-marks active","firefox","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1335","search is debounced to a single request","firefox","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","2215","movie list page has no critical violations","firefox","2026-09-04","passed","2026-09-04","Accessibility","moviecatalog/a11y.test.ts","",""
"","3198","server-side validation errors map to the right fields (mocked)","firefox","2026-09-04","passed","2026-09-04","Add/Edit movie","moviecatalog/movie.test.ts","",""
"","720","a 401 on any authenticated call logs out and shows a popup (mocked)","chromium","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","1411","dismissing the popup is non-destructive","firefox","2026-09-04","passed","2026-09-04","Global error popup","moviecatalog/err.test.ts","",""
"","3882","confirming delete from the detail page returns to the list","firefox","2026-09-04","passed","2026-09-04","Movie detail","moviecatalog/detail.test.ts","",""
"","1208","genre link ""Comedy"" filters and self-marks active","webkit","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","480","genre link ""Mystery"" filters and self-marks active","chromium","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","4297","login page has no critical violations","webkit","2026-09-04","passed","2026-09-04","Accessibility","moviecatalog/a11y.test.ts","",""
"","616","wildcard pattern mocks every movie-detail request","chromium","2026-09-04","passed","2026-09-04","Network mocking depth","moviecatalog/net.test.ts","",""
"","333","genre link ""Horror"" filters and self-marks active","chromium","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1402","wildcard pattern mocks every movie-detail request","firefox","2026-09-04","passed","2026-09-04","Network mocking depth","moviecatalog/net.test.ts","",""
"","1046","sort toggles direction on repeated clicks","firefox","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1051","JS heap stays within budget after paging and filtering (Chromium only)","firefox","2026-09-04","skipped","2026-09-04","Performance budgets","moviecatalog/perf.test.ts","",""
"","1431","login page has no critical violations","chromium","2026-09-04","passed","2026-09-04","Accessibility","moviecatalog/a11y.test.ts","",""
"","1879","keyboard-only path through login → search → detail → back","webkit","2026-09-04","passed","2026-09-04","Cross-cutting / non-functional","moviecatalog/nfr.test.ts","",""
"","1144","unauthenticated access to a protected route redirects to /login","webkit","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","344","genre link ""Fantasy"" filters and self-marks active","chromium","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1653","a 401 on any authenticated call logs out and shows a popup (mocked)","webkit","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","487","pagination buttons disable at both boundaries (mocked)","chromium","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1681","a network failure falls through to the component’s own error, not the popup","webkit","2026-09-04","passed","2026-09-04","Global error popup","moviecatalog/err.test.ts","",""
"","356","add-movie round trip completes within a time threshold","chromium","2026-09-04","passed","2026-09-04","Performance budgets","moviecatalog/perf.test.ts","",""
